City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,275.1,57,79,3.58,TF,1690782507
1,adamstown,-25.066,-130.1015,292.24,57,9,9.86,PN,1690782407
2,west island,-12.1568,96.8225,299.14,83,75,7.72,CC,1690782510
3,shimoda,34.6667,138.95,304.87,73,99,5.23,JP,1690782511
4,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,88,75,5.0,RU,1690782512
5,xique xique,-10.8217,-42.7311,295.33,67,26,7.75,BR,1690782515
6,colonia,50.9333,6.95,291.81,79,75,2.57,DE,1690782516
7,tiksi,71.6872,128.8694,277.94,82,49,4.14,RU,1690782517
8,talcahuano,-36.7167,-73.1167,284.97,100,100,1.03,CL,1690782518
9,grytviken,-54.2811,-36.5092,271.07,81,100,6.26,GS,1690782405
10,rio grande,-32.035,-52.0986,282.01,84,95,2.76,BR,1690782460
11,vorgashor,67.5833,63.95,296.1,50,88,2.79,RU,1690782523
12,college,64.8569,-147.8028,294.59,70,75,1.54,US,1690782524
13,hawaiian paradise park,19.5933,-154.9731,297.88,94,40,4.63,US,1690782525
14,severo-yeniseyskiy,60.3725,93.0408,294.06,86,99,0.12,RU,1690782527
15,ghat,24.9647,10.1728,306.98,11,40,1.19,LY,1690782528
16,aasiaat,68.7098,-52.8699,275.91,91,100,2.44,GL,1690782529
17,nueva gerona,21.8833,-82.8,301.42,74,100,0.85,CU,1690782530
18,tolanaro,-25.0319,46.9987,290.19,94,20,1.03,MG,1690782532
19,tazovsky,67.4667,78.7,290.1,72,30,4.81,RU,1690782533
20,mawlaik,23.6333,94.4167,302.32,92,94,1.7,MM,1690782534
21,whitehorse,60.7161,-135.0538,293.88,65,75,4.02,CA,1690782463
22,hithadhoo,-0.6,73.0833,301.09,73,72,1.13,MV,1690782536
23,brisas de zicatela,15.8369,-97.0419,299.98,78,94,2.61,MX,1690782538
24,muroto-misakicho,33.2833,134.15,301.52,79,100,1.88,JP,1690782539
25,sohar,24.3643,56.7468,306.16,70,30,3.09,OM,1690782540
26,hue,16.4667,107.6,309.21,44,75,5.66,VN,1690782541
27,labuan,5.2767,115.2417,304.35,74,20,1.03,MY,1690782542
28,invercargill,-46.4,168.35,283.16,85,70,5.81,NZ,1690782545
29,cururupu,-1.8283,-44.8683,296.96,96,16,1.93,BR,1690782282
30,brokopondo,4.75,-55.1667,298.01,90,43,2.89,SR,1690782547
31,waingapu,-9.6567,120.2641,302.48,56,6,7.35,ID,1690782549
32,puerto ayora,-0.7393,-90.3518,297.34,96,61,2.24,EC,1690782550
33,tukrah,32.5341,20.5791,300.7,65,0,5.43,LY,1690782551
34,al hasakah,36.5024,40.7477,304.15,38,0,1.33,SY,1690782552
35,nemuro,43.3236,145.575,292.43,96,99,7.03,JP,1690782553
